AML-01-001,AML-02-001,AML-03-001,AML-04-001,AML-05-001,AML-06-001,AML-07-001,AML-08-001,AML-09-001,AML-10-001,AML-11-001,AML-12-001,AML-13-001,AML-14-001,AML-15-001,AML-16-001,AML-17-001,AML-18-001,AML-19-001,AML-20-001,AML-21-001,AML-22-001,AML-23-001,AML-24-001,AML-25-001,AML-26-001,AML-27-001,AML-28-001,AML-29-001,AML-30-001,AML-31-001,AML-32-001,AML-33-001,AML-34-001,AML-35-001,AML-36-001,AML-37-001,AML-38-001,AML-39-001,AML-40-001,AML-41-001,AML-42-001,AML-43-001,AML-44-001,AML-45-001,AML-46-001,AML-47-001,AML-48-001,AML-49-001,AML-50-001,AML-51-001,AML-52-001,AML-53-001,AML-54-001,AML-55-001,AML-56-001,AML-57-001,AML-58-001,AML-59-001,AML-60-001,AML-61-001,AML-62-001,AML-63-001,AML-64-001,AML-65-001,AML-66-001,AML-67-001,AML-68-001,AML-69-001,AML-70-001,AML-71-001,AML-72-001,AML-73-001,AML-74-001,AML-75-001,AML-76-001,AML-77-001,AML-78-001,AML-79-001,AML-80-001,AML-81-001,AML-82-001,AML-83-001,AML-84-001,AML-85-001,AML-86-001,AML-87-001,AML-88-001,AML-89-001,AML-90-001,AML-91-001,AML-92-001,AML-93-001,AML-94-001,AML-95-001,AML-96-001,AML-97-001,AML-98-001,AML-99-001,AML-100-001,AML-101-001,AML-102-001,AML-103-001,AML-104-001,AML-105-001,AML-106-001,AML-107-001,AML-108-001,AML-109-001,AML-110-001,AML-111-001,AML-112-001,AML-113-001,AML-114-001,AML-115-001,AML-116-001,AML-117-001,AML-118-001,AML-119-001,AML-120-001,AML-121-001,AML-122-001,AML-123-001
0.0,1.0,0.6,0.871,0.857,0.8,1.0,1.0,0.845,0.857,1.0,0.833,0.571,0.857,0.6,1.0,0.5,1.0,0.667,0.667,0.762,1.0,0.8,0.75,0.857,0.778,0.571,0.875,1.0,0.714,0.875,0.875,1.0,1.0,0.833,1.0,0.5,0.916,1.0,0.875,0.8,1.0,0.8,0.833,1.0,0.6,0.5,1.0,0.5,0.6,0.875,0.833,0.8,0.833,1.0,1.0,0.6,1.0,1.0,0.857,0.875,0.857,0.823,1.0,0.8,1.0,1.0,0.571,1.0,1.0,1.0,0.6,1.0,0.875,0.857,0.875,1.0,1.0,1.0,0.5,0.875,0.625,1.0,0.889,1.0,1.0,0.857,0.764,1.0,0.7,1.0,1.0,1.0,1.0,0.857,1.0,0.75,0.778,0.942,0.909,1.0,0.625,1.0,1.0,1.0,1.0,1.0,0.667,0.667,1.0,0.714,0.571,0.857,1.0,0.571,0.6,1.0,0.5,0.5,1.0,0.625,0.6,1.0
1.0,0.0,1.0,0.785,0.889,1.0,0.625,0.875,0.764,1.0,1.0,0.75,1.0,1.0,1.0,0.875,0.875,0.75,0.75,0.875,1.0,1.0,1.0,0.7,0.667,0.909,0.889,0.9,0.667,0.889,1.0,0.7,0.625,0.875,1.0,0.875,0.875,0.862,0.875,0.7,1.0,0.556,1.0,0.875,1.0,1.0,0.75,1.0,1.0,0.857,0.7,1.0,1.0,1.0,0.9,1.0,1.0,0.875,0.875,1.0,1.0,1.0,1.0,0.889,0.857,1.0,1.0,0.889,0.875,1.0,0.714,1.0,0.714,1.0,1.0,0.7,1.0,0.875,1.0,1.0,0.9,0.7,0.866,0.636,1.0,1.0,1.0,0.851,0.75,0.833,0.636,0.778,1.0,1.0,1.0,0.889,0.866,1.0,0.746,0.923,1.0,0.9,0.889,1.0,0.889,1.0,0.857,1.0,1.0,1.0,0.778,0.889,0.889,0.9,0.889,1.0,0.875,1.0,0.875,0.75,0.9,0.857,0.556
0.6,1.0,0.0,0.908,0.833,0.75,1.0,1.0,0.817,0.833,1.0,0.8,0.667,0.833,0.5,1.0,0.6,1.0,0.8,0.6,0.717,1.0,1.0,0.857,0.833,0.75,0.667,0.857,1.0,0.667,0.857,0.857,1.0,1.0,0.8,1.0,0.6,0.909,1.0,0.857,1.0,1.0,0.75,0.8,1.0,0.5,0.6,1.0,0.6,0.5,0.857,0.8,0.75,0.8,1.0,1.0,0.5,1.0,1.0,0.833,0.857,0.833,0.783,1.0,0.75,1.0,1.0,0.667,1.0,1.0,1.0,0.5,1.0,0.857,0.833,0.857,1.0,1.0,1.0,0.6,0.857,0.714,1.0,0.875,1.0,1.0,0.833,0.821,1.0,0.778,1.0,1.0,1.0,1.0,0.833,1.0,0.819,1.0,0.936,0.9,1.0,0.714,1.0,1.0,1.0,1.0,1.0,0.6,0.6,1.0,1.0,0.667,0.833,1.0,0.667,0.5,1.0,0.6,0.6,1.0,0.714,0.5,1.0
0.871,0.785,0.908,0.0,0.845,0.817,0.832,0.832,0.777,0.81,0.908,0.748,0.917,0.768,0.95,0.955,0.916,1.0,0.825,0.748,0.74,0.916,0.817,0.751,0.768,0.799,0.845,0.785,0.845,0.768,0.818,0.713,0.916,0.916,0.832,0.832,0.832,0.803,0.748,0.713,0.72,0.845,0.817,0.748,1.0,0.908,0.878,1.0,0.832,0.908,0.641,0.748,0.817,0.916,0.851,1.0,0.908,0.832,0.955,0.768,0.823,0.768,0.806,0.768,0.817,0.768,0.866,0.845,0.916,0.768,0.908,0.908,0.817,0.746,0.923,0.713,0.768,1.0,1.0,1.0,0.856,0.785,0.832,0.799,1.0,1.0,0.881,0.852,0.832,0.812,0.732,0.875,0.845,0.856,0.804,0.768,0.844,0.83,0.763,0.764,1.0,0.89,0.768,1.0,0.768,1.0,1.0,0.832,0.832,1.0,0.833,1.0,0.875,0.785,0.845,1.0,1.0,0.832,0.871,0.916,1.0,0.908,1.0
0.857,0.889,0.833,0.845,0.0,0.667,1.0,1.0,0.804,0.75,1.0,0.857,1.0,0.875,1.0,1.0,0.857,1.0,0.857,0.857,0.804,0.857,0.833,0.778,0.75,0.9,0.75,0.778,1.0,0.875,0.778,0.778,1.0,0.857,0.714,0.714,0.857,0.822,1.0,0.667,0.909,0.875,0.667,0.714,1.0,1.0,0.857,1.0,0.714,0.833,0.778,0.714,0.833,0.857,1.0,1.0,1.0,1.0,1.0,0.75,0.889,0.75,0.821,0.875,0.667,0.875,0.9,0.75,0.857,0.875,0.833,1.0,0.833,0.889,0.875,0.778,0.875,1.0,1.0,1.0,0.889,0.889,0.929,0.8,1.0,1.0,0.875,0.893,0.857,0.909,1.0,1.0,1.0,1.0,0.75,0.75,0.867,1.0,0.895,0.833,1.0,0.889,0.875,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.889,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.8,1.0,0.75,0.817,0.667,0.0,1.0,1.0,0.833,0.667,1.0,1.0,1.0,0.833,1.0,1.0,0.8,1.0,0.8,0.8,0.733,0.8,0.75,0.714,0.667,0.875,0.667,0.714,1.0,0.833,0.714,0.714,1.0,0.8,0.6,0.8,0.8,0.847,1.0,0.714,0.889,0.833,0.5,0.6,1.0,1.0,1.0,1.0,0.6,1.0,0.714,0.6,0.5,0.8,1.0,1.0,1.0,1.0,1.0,0.667,0.857,0.667,0.756,0.833,0.5,0.833,0.875,0.667,0.8,0.833,0.75,1.0,1.0,0.857,0.833,0.714,0.833,1.0,1.0,1.0,0.857,1.0,0.9,0.75,1.0,1.0,0.833,0.821,0.8,0.889,1.0,1.0,1.0,1.0,0.667,0.833,0.816,1.0,0.873,0.8,1.0,1.0,0.833,1.0,0.833,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.625,1.0,0.832,1.0,1.0,0.0,0.667,1.0,0.714,0.8,1.0,0.857,1.0,1.0,0.833,1.0,0.667,0.667,1.0,1.0,1.0,1.0,1.0,0.571,1.0,1.0,0.875,0.857,0.857,1.0,0.625,0.333,1.0,1.0,1.0,1.0,0.916,1.0,0.875,0.8,0.571,1.0,0.833,1.0,1.0,1.0,0.8,1.0,1.0,1.0,0.833,1.0,0.667,0.75,0.75,0.8,0.667,0.667,0.714,0.875,1.0,0.81,0.714,1.0,0.714,0.889,1.0,0.833,0.714,0.6,1.0,1.0,1.0,0.857,1.0,0.857,1.0,1.0,1.0,1.0,1.0,0.817,0.889,1.0,1.0,1.0,1.0,1.0,1.0,0.778,0.857,0.714,0.75,1.0,0.857,1.0,1.0,0.795,0.909,1.0,1.0,1.0,0.75,0.857,1.0,1.0,0.667,0.667,1.0,0.714,1.0,1.0,1.0,0.714,1.0,0.833,0.667,1.0,0.5,1.0,1.0,0.571
1.0,0.875,1.0,0.832,1.0,1.0,0.667,0.0,1.0,0.571,0.8,1.0,0.857,1.0,1.0,0.833,0.667,0.833,1.0,0.833,1.0,1.0,1.0,0.875,1.0,0.889,0.857,0.875,0.857,0.857,1.0,0.875,0.833,1.0,1.0,1.0,0.833,0.916,1.0,0.875,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,0.875,0.833,1.0,0.5,0.875,0.75,0.8,0.333,0.667,0.571,0.875,1.0,0.81,0.571,0.8,0.714,0.889,0.857,1.0,0.571,1.0,1.0,1.0,1.0,0.857,0.75,0.857,0.833,1.0,1.0,1.0,0.875,0.817,0.889,1.0,1.0,1.0,0.843,1.0,1.0,0.667,1.0,0.571,0.625,1.0,1.0,0.815,1.0,0.795,0.909,1.0,0.75,0.714,0.75,0.714,1.0,0.6,0.5,0.5,1.0,1.0,0.714,0.714,0.875,0.571,1.0,0.833,0.667,1.0,0.667,0.875,1.0,0.857
0.845,0.764,0.817,0.777,0.804,0.833,1.0,1.0,0.0,0.804,1.0,0.69,0.866,0.804,0.817,1.0,0.845,1.0,0.679,0.845,0.813,0.929,0.9,0.646,0.875,0.844,0.866,0.826,1.0,0.866,0.764,0.708,1.0,0.857,0.857,0.845,0.845,0.844,1.0,0.708,0.809,1.0,0.733,0.69,0.875,0.817,0.762,0.917,0.845,0.817,0.708,0.774,0.917,0.929,1.0,1.0,0.817,1.0,1.0,0.875,0.882,0.804,0.826,1.0,0.833,1.0,1.0,0.804,0.857,0.875,1.0,0.817,0.633,0.764,0.866,0.708,1.0,1.0,1.0,0.845,0.826,0.764,1.0,0.9,1.0,1.0,0.866,0.868,1.0,0.905,1.0,1.0,1.0,1.0,0.875,0.67,0.869,0.833,0.893,0.871,0.833,0.882,1.0,1.0,1.0,1.0,1.0,0.845,0.845,0.833,0.786,0.866,0.866,1.0,0.866,0.817,1.0,0.845,0.845,1.0,0.882,0.817,1.0
0.857,1.0,0.833,0.81,0.75,0.667,0.714,0.571,0.804,0.0,0.833,1.0,0.875,1.0,1.0,1.0,1.0,1.0,0.857,1.0,0.741,1.0,0.833,0.889,0.5,1.0,0.75,0.556,0.75,1.0,0.778,0.556,0.857,1.0,0.714,1.0,1.0,0.845,0.714,0.556,0.727,1.0,0.667,0.571,1.0,1.0,0.857,1.0,0.714,1.0,0.667,0.571,0.833,0.857,0.889,1.0,0.833,0.571,1.0,0.5,1.0,0.625,0.732,0.625,0.667,0.75,1.0,0.75,1.0,0.625,1.0,1.0,1.0,0.889,0.875,0.667,1.0,1.0,1.0,1.0,0.778,1.0,1.0,0.7,1.0,0.667,0.875,0.859,0.857,1.0,0.7,1.0,0.625,0.667,0.75,1.0,0.833,0.9,0.686,0.667,1.0,0.778,1.0,1.0,1.0,1.0,1.0,0.571,0.571,1.0,0.875,1.0,1.0,1.0,0.625,1.0,1.0,0.714,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,0.908,1.0,1.0,0.8,0.8,1.0,0.833,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,0.667,1.0,1.0,1.0,0.833,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.889,0.667,1.0,1.0,0.833,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.714,1.0,0.75,0.8,1.0,0.833,1.0,1.0,1.0,0.833,1.0,0.833,1.0,1.0,1.0,0.833,1.0,1.0,1.0,1.0,0.833,1.0,0.667,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,0.833,0.857,1.0,1.0,1.0,1.0,0.885,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,1.0,0.667,1.0,1.0,1.0,0.833,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0
0.833,0.75,0.8,0.748,0.857,1.0,1.0,1.0,0.69,1.0,1.0,0.0,0.857,0.714,0.8,1.0,0.833,1.0,1.0,0.833,0.845,1.0,1.0,0.75,1.0,0.889,0.857,0.875,1.0,0.857,0.75,0.75,1.0,1.0,0.667,0.833,0.833,0.833,0.667,0.75,0.8,1.0,1.0,1.0,1.0,0.8,0.833,1.0,0.833,0.8,0.75,0.833,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,0.75,0.714,0.873,1.0,1.0,0.714,1.0,0.857,1.0,1.0,1.0,0.8,0.6,0.75,0.857,0.75,1.0,1.0,1.0,0.833,0.875,0.75,1.0,1.0,1.0,1.0,1.0,0.884,1.0,0.9,0.778,1.0,1.0,1.0,1.0,0.714,0.903,0.778,0.85,0.909,1.0,0.875,1.0,1.0,1.0,1.0,1.0,0.833,0.833,1.0,1.0,0.857,0.857,1.0,0.857,0.8,1.0,0.833,0.833,1.0,0.875,0.8,1.0
0.571,1.0,0.667,0.917,1.0,1.0,0.857,0.857,0.866,0.875,1.0,0.857,0.0,0.875,0.667,0.857,0.571,0.857,0.714,0.714,0.732,1.0,0.833,0.778,1.0,0.8,0.875,0.889,0.875,0.875,0.889,1.0,0.857,1.0,1.0,1.0,0.571,0.923,1.0,0.778,0.909,1.0,0.833,0.714,1.0,0.667,0.571,0.833,0.571,0.667,0.778,0.714,1.0,1.0,1.0,0.8,0.667,0.857,1.0,0.875,0.889,0.75,0.733,0.875,1.0,1.0,0.8,0.625,1.0,0.875,1.0,0.667,1.0,0.889,0.875,1.0,0.875,0.857,0.833,0.857,1.0,0.667,0.845,0.9,0.857,1.0,0.875,0.789,1.0,0.909,1.0,1.0,0.875,1.0,1.0,1.0,0.82,0.8,0.907,0.75,0.833,0.667,1.0,0.8,1.0,0.8,0.833,0.714,0.714,0.833,0.75,0.625,0.875,1.0,0.625,0.667,0.857,0.571,0.571,1.0,0.667,0.667,1.0
0.857,1.0,0.833,0.768,0.875,0.833,1.0,1.0,0.804,1.0,1.0,0.714,0.875,0.0,0.833,1.0,0.857,1.0,1.0,0.714,0.732,0.714,0.667,1.0,1.0,0.7,0.875,0.889,1.0,0.75,0.778,1.0,1.0,0.714,0.714,0.857,0.857,0.818,0.714,0.778,0.636,0.75,1.0,1.0,0.75,0.833,0.857,0.833,0.857,0.833,0.778,0.857,0.833,1.0,1.0,1.0,0.833,1.0,1.0,1.0,0.667,0.75,0.891,0.75,1.0,0.75,0.8,0.75,0.714,0.75,0.833,0.833,1.0,0.556,0.875,0.778,0.75,1.0,1.0,0.857,0.778,0.889,0.857,1.0,1.0,1.0,1.0,0.93,0.714,0.909,0.8,1.0,1.0,1.0,1.0,0.625,0.853,0.8,0.774,0.833,0.667,0.889,0.75,1.0,0.75,1.0,1.0,0.857,0.857,0.667,1.0,0.875,0.875,0.778,0.875,0.833,1.0,0.857,0.857,1.0,0.889,0.833,1.0
0.6,1.0,0.5,0.95,1.0,1.0,1.0,1.0,0.817,1.0,1.0,0.8,0.667,0.833,0.0,0.8,0.6,1.0,1.0,0.6,0.633,1.0,1.0,1.0,1.0,0.75,0.667,0.714,1.0,0.667,0.857,1.0,1.0,1.0,1.0,1.0,0.6,0.909,1.0,0.714,1.0,1.0,1.0,1.0,1.0,0.5,0.6,1.0,0.6,0.5,0.714,0.6,1.0,1.0,0.857,1.0,0.5,1.0,0.8,1.0,0.857,0.667,0.692,1.0,1.0,1.0,1.0,0.667,1.0,1.0,1.0,0.5,1.0,0.857,0.833,1.0,1.0,1.0,1.0,0.6,1.0,0.714,1.0,1.0,1.0,1.0,1.0,0.821,1.0,0.778,1.0,0.833,1.0,0.857,0.833,1.0,0.771,1.0,0.936,0.8,1.0,0.714,1.0,1.0,1.0,1.0,1.0,0.6,0.6,1.0,1.0,0.667,0.833,1.0,0.667,0.5,1.0,0.6,0.6,1.0,0.714,0.5,1.0
1.0,0.875,1.0,0.955,1.0,1.0,0.833,0.833,1.0,1.0,1.0,1.0,0.857,1.0,0.8,0.0,0.667,0.833,1.0,0.833,1.0,1.0,1.0,0.875,1.0,0.889,0.857,0.875,0.857,0.857,1.0,0.875,0.833,1.0,1.0,1.0,0.833,0.833,1.0,0.875,0.9,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,0.875,0.833,1.0,1.0,0.75,0.75,1.0,0.833,0.667,0.857,0.75,0.857,0.81,0.857,0.8,1.0,0.889,0.857,1.0,0.857,1.0,1.0,1.0,1.0,1.0,0.75,0.857,0.833,1.0,1.0,1.0,0.875,0.817,0.889,1.0,1.0,1.0,0.843,1.0,1.0,1.0,0.857,0.857,0.875,0.857,1.0,0.815,1.0,0.921,0.909,1.0,0.75,0.714,0.75,0.714,1.0,0.6,0.833,0.833,1.0,1.0,0.714,0.857,0.875,0.857,1.0,0.833,1.0,0.833,0.667,0.875,1.0,0.857
0.5,0.875,0.6,0.916,0.857,0.8,1.0,0.667,0.845,1.0,1.0,0.833,0.571,0.857,0.6,0.667,0.0,1.0,1.0,0.667,0.845,0.833,0.8,0.875,1.0,0.889,0.571,0.625,1.0,0.857,0.875,0.875,1.0,0.833,0.833,0.833,0.333,0.916,1.0,0.875,0.9,0.857,1.0,1.0,1.0,0.6,0.5,1.0,0.5,0.6,0.875,0.667,0.8,1.0,0.75,1.0,0.6,0.833,0.667,1.0,0.875,0.714,0.745,0.857,0.8,0.857,0.889,0.571,0.833,0.857,0.8,0.6,1.0,0.875,0.857,0.875,0.857,0.833,1.0,0.5,0.875,0.625,0.817,1.0,1.0,1.0,1.0,0.764,0.833,0.7,1.0,1.0,1.0,1.0,1.0,0.857,0.628,1.0,0.897,0.818,1.0,0.625,0.857,1.0,0.857,1.0,0.6,0.667,0.667,1.0,1.0,0.571,0.857,0.875,0.571,0.6,0.667,0.5,0.5,0.667,0.625,0.6,0.857
1.0,0.75,1.0,1.0,1.0,1.0,0.667,0.833,1.0,1.0,0.6,1.0,0.857,1.0,1.0,0.833,1.0,0.0,0.667,1.0,1.0,1.0,1.0,1.0,0.714,1.0,1.0,0.875,0.857,0.857,1.0,0.75,0.667,1.0,1.0,1.0,1.0,0.916,1.0,0.875,0.9,0.714,1.0,0.833,0.857,1.0,1.0,0.8,1.0,1.0,1.0,0.833,1.0,0.667,0.625,0.75,1.0,0.833,0.667,0.714,0.875,1.0,0.81,0.857,1.0,0.857,0.889,1.0,0.833,0.857,0.6,1.0,1.0,1.0,1.0,1.0,0.571,1.0,1.0,1.0,1.0,1.0,0.817,0.889,1.0,1.0,1.0,1.0,1.0,1.0,0.778,0.857,0.571,1.0,1.0,0.857,1.0,1.0,0.795,0.909,1.0,1.0,1.0,0.75,0.857,1.0,1.0,0.833,0.833,1.0,0.571,1.0,1.0,1.0,0.857,1.0,0.833,1.0,1.0,0.667,1.0,1.0,0.714
0.667,0.75,0.8,0.825,0.857,0.8,0.667,1.0,0.679,0.857,1.0,1.0,0.714,1.0,1.0,1.0,1.0,0.667,0.0,1.0,0.845,1.0,0.8,0.625,0.857,1.0,0.857,0.875,0.714,1.0,0.75,0.875,0.667,1.0,0.833,1.0,1.0,0.944,1.0,0.875,0.8,0.714,0.8,0.667,1.0,1.0,0.833,1.0,0.833,1.0,0.875,0.833,0.8,0.833,0.75,1.0,1.0,1.0,0.667,0.857,1.0,0.857,0.897,1.0,0.8,1.0,1.0,0.857,0.833,1.0,0.6,1.0,1.0,0.75,1.0,0.875,1.0,1.0,1.0,1.0,0.875,1.0,1.0,0.778,1.0,1.0,0.857,0.921,1.0,1.0,0.778,0.857,1.0,1.0,0.857,0.857,0.938,0.667,0.838,0.909,1.0,0.75,1.0,1.0,0.857,1.0,1.0,1.0,1.0,1.0,0.571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.667,1.0,1.0,0.714
0.667,0.875,0.6,0.748,0.857,0.8,1.0,0.833,0.845,1.0,1.0,0.833,0.714,0.714,0.6,0.833,0.667,1.0,1.0,0.0,0.536,0.833,0.6,0.875,1.0,0.667,0.714,0.75,1.0,0.571,0.75,0.875,1.0,0.833,0.833,0.833,0.333,0.749,1.0,0.625,0.7,0.714,1.0,1.0,1.0,0.6,0.667,1.0,0.833,0.6,0.625,0.667,0.8,1.0,0.875,1.0,0.6,0.833,0.833,1.0,0.75,0.714,0.745,0.571,0.8,0.571,0.778,0.714,0.833,0.571,0.8,0.6,1.0,0.75,0.857,0.625,0.571,0.833,1.0,0.667,0.875,0.75,0.65,1.0,1.0,1.0,1.0,0.843,0.667,0.8,1.0,1.0,1.0,1.0,1.0,0.714,0.561,1.0,0.755,0.818,1.0,0.75,0.571,1.0,0.571,1.0,0.8,0.667,0.667,1.0,1.0,0.714,0.857,0.625,0.714,0.6,0.833,0.667,0.667,0.833,0.75,0.6,0.857
0.762,1.0,0.717,0.74,0.804,0.733,1.0,1.0,0.813,0.741,1.0,0.845,0.732,0.732,0.633,1.0,0.845,1.0,0.845,0.536,0.0,0.845,0.633,0.882,0.812,0.683,0.732,0.708,1.0,0.598,0.708,0.833,1.0,0.845,0.774,0.845,0.69,0.758,1.0,0.646,0.714,0.732,0.733,0.702,1.0,0.633,0.69,1.0,0.845,0.633,0.59,0.619,0.733,0.929,1.0,1.0,0.633,1.0,1.0,0.812,0.764,0.67,0.696,0.598,0.833,0.598,0.789,0.732,0.845,0.598,0.817,0.633,1.0,0.764,0.866,0.59,0.598,1.0,1.0,0.69,0.826,0.764,0.69,0.85,1.0,1.0,0.866,0.832,0.69,0.809,1.0,1.0,1.0,1.0,0.875,0.732,0.772,0.894,0.756,0.697,1.0,0.764,0.598,1.0,0.598,1.0,1.0,0.69,0.69,1.0,0.866,0.732,0.866,0.646,0.732,0.633,1.0,0.69,0.69,1.0,0.764,0.633,1.0
1.0,1.0,1.0,0.916,0.857,0.8,1.0,1.0,0.929,1.0,1.0,1.0,1.0,0.714,1.0,1.0,0.833,1.0,1.0,0.833,0.845,0.0,0.8,1.0,1.0,0.778,1.0,1.0,1.0,0.857,0.875,1.0,1.0,0.667,0.833,0.833,0.833,0.916,1.0,0.875,0.8,0.857,1.0,1.0,0.857,1.0,1.0,0.8,0.833,1.0,0.875,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,1.0,0.857,1.0,0.857,0.889,0.857,0.667,0.857,0.8,1.0,1.0,0.75,0.857,0.875,0.857,1.0,1.0,1.0,0.625,1.0,0.917,1.0,1.0,1.0,1.0,1.0,0.833,0.9,1.0,1.0,1.0,1.0,1.0,0.714,0.877,1.0,0.929,0.909,0.8,1.0,0.857,1.0,0.857,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,1.0
