,AIC train,AIC test
Only Clinical,389.803,136.542
DISC_union,393.411,140.522
DISC_intersection,395.401,178.164
DISC_sigmoid,391.187,140.588
DISC_geometric,395.543,177.759
CASet_intersection,392.325,144.686
CASet_union,393.529,141.215
CASet_sigmoid,387.372,144.82
CASet_geometric,386.682,158.498
BD,392.424,142.57
1BD,380.437,141.982
2BD,392.954,139.327
AD,385.759,141.302
CD,391.127,139.787
PD,396.969,158.88
PCD,391.287,138.088
MLTD,391.373,141.077
MP3_union,391.721,141.53
MP3_sigmoid,390.882,142.198
MP3_intersection,392.741,140.665
MP3_geometric,390.11,142.148
Optimal Combination,379.725,163.089
,,
,,
,,